regime,permutations,trial,rmse,max_error,top1,unique_coalitions,coalition_fraction,hoeffding_radius
uniform,2,75,0.019737293751300105,0.04006261115911412,True,12,0.1875,2.3410764454288953
uniform,2,76,0.010457366834690415,0.018949576462285737,False,12,0.1875,2.3410764454288953
uniform,2,77,0.0098562568651293,0.021058822056041974,True,12,0.1875,2.3410764454288953
uniform,2,78,0.02764201976289385,0.04748697711377681,False,11,0.171875,2.3410764454288953
uniform,2,79,0.022296243934277198,0.039184720370182946,True,9,0.140625,2.3410764454288953
uniform,2,80,0.013800076200148986,0.025442054657772082,False,11,0.171875,2.3410764454288953
uniform,2,81,0.013724810691256079,0.025220392329640608,False,11,0.171875,2.3410764454288953
uniform,2,82,0.026170152304730136,0.046132803907216524,False,12,0.1875,2.3410764454288953
uniform,2,83,0.008020447378949086,0.013785187198851523,True,12,0.1875,2.3410764454288953
uniform,2,84,0.005932725276709276,0.008658432597186273,True,12,0.1875,2.3410764454288953
uniform,2,85,0.006242393325072977,0.010032508422778544,True,12,0.1875,2.3410764454288953
uniform,2,86,0.009406406050229948,0.015635957789792536,False,12,0.1875,2.3410764454288953
uniform,2,87,0.005394323230003431,0.009887378093590676,False,12,0.1875,2.3410764454288953
uniform,2,88,0.008118830048080308,0.014722970456290906,False,12,0.1875,2.3410764454288953
uniform,2,89,0.011005471355488562,0.023572462840318262,False,12,0.1875,2.3410764454288953
uniform,2,90,0.014946569323935783,0.02779828959603803,True,9,0.140625,2.3410764454288953
uniform,2,91,0.014686374664471388,0.029421458158013808,False,10,0.15625,2.3410764454288953
uniform,2,92,0.027537113124402247,0.047950293215448886,False,12,0.1875,2.3410764454288953
uniform,2,93,0.019689286307419514,0.02941859785677202,True,11,0.171875,2.3410764454288953
uniform,2,94,0.004632327907406404,0.007469821138895708,False,11,0.171875,2.3410764454288953
uniform,2,95,0.0068437050104838155,0.01467396162714802,True,12,0.1875,2.3410764454288953
uniform,2,96,0.025648403190726574,0.04747561957939735,False,11,0.171875,2.3410764454288953
uniform,2,97,0.005671608674215063,0.008326054884712325,False,12,0.1875,2.3410764454288953
uniform,2,98,0.02738154080246162,0.047962971278450076,False,10,0.15625,2.3410764454288953
uniform,2,99,0.010260545911983028,0.018625409257760225,True,12,0.1875,2.3410764454288953
uniform,2,100,0.0073721591185953355,0.013331145954967226,False,12,0.1875,2.3410764454288953
uniform,2,101,0.01278123237110035,0.027426725332444755,False,12,0.1875,2.3410764454288953
uniform,2,102,0.009455696815643016,0.01574560935016022,False,12,0.1875,2.3410764454288953
uniform,2,103,0.01096846368861338,0.023041894345613538,True,12,0.1875,2.3410764454288953
uniform,2,104,0.009780199427559021,0.01881687768783218,False,12,0.1875,2.3410764454288953
uniform,2,105,0.005515063963049145,0.01007294052426895,False,11,0.171875,2.3410764454288953
uniform,2,106,0.020307329026700262,0.036519322144464295,True,12,0.1875,2.3410764454288953
uniform,2,107,0.020930742161783703,0.04168291941984811,True,12,0.1875,2.3410764454288953
uniform,2,108,0.009752388867106448,0.01800582414475497,False,12,0.1875,2.3410764454288953
uniform,2,109,0.010642627898199817,0.022763807267683654,False,12,0.1875,2.3410764454288953
uniform,2,110,0.025086497897721306,0.046802815047752376,False,12,0.1875,2.3410764454288953
uniform,2,111,0.0042320088748626595,0.00802492019022364,False,12,0.1875,2.3410764454288953
uniform,2,112,0.013369036564353707,0.02289405804346121,True,12,0.1875,2.3410764454288953
uniform,2,113,0.017596915194731506,0.03678670750573136,False,12,0.1875,2.3410764454288953
uniform,2,114,0.00909314111200378,0.014453650183072283,False,12,0.1875,2.3410764454288953
uniform,2,115,0.012800827652869667,0.023782995618592886,False,12,0.1875,2.3410764454288953
uniform,2,116,0.02498181861982028,0.046802815047752376,False,12,0.1875,2.3410764454288953
uniform,2,117,0.01521897102568725,0.02941859785677202,True,12,0.1875,2.3410764454288953
uniform,2,118,0.02470311021150221,0.04747561957939735,False,11,0.171875,2.3410764454288953
uniform,2,119,0.00970980018449675,0.017906996671745525,False,12,0.1875,2.3410764454288953
uniform,2,120,0.011490304358060484,0.021106379635334786,False,11,0.171875,2.3410764454288953
uniform,2,121,0.00606640735457524,0.009154559579886753,False,12,0.1875,2.3410764454288953
uniform,2,122,0.017122850350981374,0.029293979288818828,True,12,0.1875,2.3410764454288953
uniform,2,123,0.01843492512041978,0.03626513026999421,False,12,0.1875,2.3410764454288953
uniform,2,124,0.025671031444967875,0.046802815047752376,False,11,0.171875,2.3410764454288953
uniform,2,125,0.01697445298985637,0.036070965299276364,False,12,0.1875,2.3410764454288953
uniform,2,126,0.009203711446146139,0.018141420019397475,True,12,0.1875,2.3410764454288953
uniform,2,127,0.011190903340550474,0.023041894345613538,True,12,0.1875,2.3410764454288953
uniform,2,128,0.011502870641816019,0.02127262506728981,False,12,0.1875,2.3410764454288953
uniform,2,129,0.022596542329224274,0.035522032010271445,True,12,0.1875,2.3410764454288953
uniform,2,130,0.004934629241220122,0.008354276179046796,True,12,0.1875,2.3410764454288953
uniform,2,131,0.005572676242378398,0.009154559579886753,False,12,0.1875,2.3410764454288953
uniform,2,132,0.01803768249830841,0.03664908220714223,False,12,0.1875,2.3410764454288953
uniform,2,133,0.00637628183731099,0.01007294052426895,False,10,0.15625,2.3410764454288953
uniform,2,134,0.009557143358401205,0.018112441606744443,True,12,0.1875,2.3410764454288953
uniform,2,135,0.0163467480544299,0.028622620347138583,True,12,0.1875,2.3410764454288953
uniform,2,136,0.0029769352974958183,0.005913864980619476,True,12,0.1875,2.3410764454288953
uniform,2,137,0.02543217097401593,0.04747561957939735,False,11,0.171875,2.3410764454288953
uniform,2,138,0.02466213940455112,0.046132803907216524,False,12,0.1875,2.3410764454288953
uniform,2,139,0.0249921084145604,0.046132803907216524,False,12,0.1875,2.3410764454288953
uniform,2,140,0.010898185337001959,0.02289405804346121,True,12,0.1875,2.3410764454288953
uniform,2,141,0.0196983779752897,0.029500511136069767,True,11,0.171875,2.3410764454288953
uniform,2,142,0.011633247059790899,0.019846132946364503,False,11,0.171875,2.3410764454288953
uniform,2,143,0.008471658236780456,0.01574560935016022,False,12,0.1875,2.3410764454288953
uniform,2,144,0.018689546939197284,0.03618576610547015,False,12,0.1875,2.3410764454288953
uniform,2,145,0.010431332682511861,0.01934148080551444,False,12,0.1875,2.3410764454288953
uniform,2,146,0.014123148461481487,0.025220392329640608,False,12,0.1875,2.3410764454288953
uniform,2,147,0.014925269489764324,0.026650783948304776,True,10,0.15625,2.3410764454288953
uniform,2,148,0.017505253599700663,0.031023591105750564,False,12,0.1875,2.3410764454288953
uniform,2,149,0.020509047709052507,0.040112305996256065,True,12,0.1875,2.3410764454288953
uniform,2,150,0.010040544953880511,0.018434253531546166,False,12,0.1875,2.3410764454288953
uniform,2,151,0.017177739072310936,0.036070965299276364,False,12,0.1875,2.3410764454288953
uniform,2,152,0.027631870642749582,0.04747561957939735,False,10,0.15625,2.3410764454288953
uniform,2,153,0.0034048854338688817,0.0051701288410277765,False,12,0.1875,2.3410764454288953
uniform,2,154,0.007470755898618796,0.013380154784110112,False,11,0.171875,2.3410764454288953
uniform,2,155,0.02628086384147851,0.046802815047752376,False,12,0.1875,2.3410764454288953
uniform,2,156,0.027278091124961816,0.04747429905077563,False,11,0.171875,2.3410764454288953
uniform,2,157,0.004353108725846893,0.008658432597186287,True,12,0.1875,2.3410764454288953
uniform,2,158,0.024643051346305404,0.04029466187346912,False,10,0.15625,2.3410764454288953
uniform,2,159,0.010794017238127118,0.02289405804346121,True,12,0.1875,2.3410764454288953
uniform,2,160,0.010579683538646146,0.01921400193631946,False,12,0.1875,2.3410764454288953
uniform,2,161,0.022809203478132457,0.04275550133677011,True,12,0.1875,2.3410764454288953
uniform,2,162,0.018692726372520313,0.035522032010271445,True,10,0.15625,2.3410764454288953
uniform,2,163,0.012524757662178752,0.02290959264698298,False,12,0.1875,2.3410764454288953
uniform,2,164,0.018330692395670107,0.03653428140094845,False,12,0.1875,2.3410764454288953
uniform,2,165,0.017158231888656728,0.032170100412421215,False,12,0.1875,2.3410764454288953
uniform,2,166,0.009440761735780878,0.01800582414475497,True,11,0.171875,2.3410764454288953
uniform,2,167,0.02563054655366779,0.0445579452580782,False,12,0.1875,2.3410764454288953
uniform,2,168,0.020113895663785127,0.035277831532935,True,11,0.171875,2.3410764454288953
uniform,2,169,0.014996990074305609,0.02289405804346121,False,12,0.1875,2.3410764454288953
uniform,2,170,0.012783260331448429,0.023782995618592886,False,12,0.1875,2.3410764454288953
uniform,2,171,0.007810844429595831,0.014189255710411356,False,12,0.1875,2.3410764454288953
uniform,2,172,0.010652260124366781,0.022031701858051797,False,9,0.140625,2.3410764454288953
uniform,2,173,0.013780441586199198,0.025105591523446824,False,10,0.15625,2.3410764454288953
uniform,2,174,0.02547780703007844,0.043885140726433236,False,12,0.1875,2.3410764454288953
uniform,2,175,0.016706050950964176,0.03214734183375265,False,11,0.171875,2.3410764454288953
uniform,2,176,0.02647486789613956,0.04288298020596509,True,12,0.1875,2.3410764454288953
uniform,2,177,0.023803878176027877,0.0445579452580782,False,12,0.1875,2.3410764454288953
